Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,File
QF7317,-21.1,39.92,10.2,7.2,5.54,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7095,-22.16,43.36,9.48,5.72,7.58,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7307,-22.79,36.8,9.5,5.79,6.36,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5671,-22.08,30.87,8.97,2.9,10.65,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7304,-21.24,46.33,10.01,8.34,5.56,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7341,-21.07,45.14,9.52,6.41,7.05,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7339,-21.67,42.04,9.52,5.44,7.73,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5673,-20.84,44.84,9.08,11.64,3.85,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7344,-21.95,43.11,8.46,6.76,6.38,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7343,-22.05,45.46,9.72,5.89,7.72,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7337,-19.69,41.96,9.59,9.38,4.47,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7314,-20.44,46.54,9.79,7.95,5.86,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7323,-21.95,37.93,10.6,5.96,6.37,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7366,-22.07,49.15,9.34,7.26,6.77,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7316,-22.14,44.67,10.14,6.15,7.27,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7310,-20.37,43.39,9.38,10.02,4.33,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7312,-21.35,44.02,9.19,7.58,5.81,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7066,-21.69,47.98,10.14,6.95,6.9,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7058,-20.47,38.94,9.09,9.09,4.29,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7068,-22.64,46.31,9.8,6.42,7.21,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
